Date,Open,High,Low,Close,Volume
07/07/2025,"272.00","278.00","269.20","274.00","150,786"
07/04/2025,"269.90","270.10","267.10","269.90","142,962"
07/03/2025,"267.70","273.80","267.60","269.50","126,223"
07/02/2025,"275.10","275.70","267.30","269.80","197,843"
07/01/2025,"278.00","282.40","274.40","276.00","166,155"
06/30/2025,"276.00","286.60","276.00","280.80","301,069"
06/27/2025,"278.00","278.60","271.10","275.30","168,775"
06/26/2025,"275.30","276.70","271.90","275.60","158,189"
06/25/2025,"276.50","278.00","273.60","275.20","252,372"
06/24/2025,"275.00","279.00","274.30","276.00","329,345"
06/23/2025,"267.30","273.60","264.90","271.40","218,537"
06/20/2025,"270.20","272.70","268.20","270.50","568,628"
06/18/2025,"266.00","270.30","264.40","270.30","181,753"
06/17/2025,"264.60","267.00","257.00","266.40","192,253"
06/16/2025,"271.00","273.00","263.20","264.90","197,276"
06/13/2025,"264.00","271.00","263.30","271.00","276,632"
06/12/2025,"268.10","274.80","264.20","268.70","371,599"
06/11/2025,"266.00","268.30","261.00","268.30","287,919"
06/10/2025,"267.20","270.40","264.60","269.50","313,091"
06/09/2025,"267.30","271.50","263.30","268.00","437,638"
